"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","30461851828","Font Delgado, Jana","11/10/1993","Gallardo Acosta, David","+34 XXXXXXX","+34 XXXXXXX","jana@mailintaor.com","Valencia Cano, Albert","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Albert Valencia Cano","L'Armentera","Albanyà","jana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","15008069907","Caballero Merino, Samuel","14/05/1992","Heredia Acosta, Daniel","+34 XXXXXXX","+34 XXXXXXX","samuel@mailintaor.com","Salas Miro, Bernat","+34 XXXXZZZZ","+34 XXXXLLL","daniel@mailintaor.com","c/ de l'aviador Bernat Salas Miro","L'Armentera","Albanyà","samuel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85795531298","Peña Gutierrez, Adrià","14/11/1995","Franco Ordoñez, Adriana","+34 XXXXXXX","+34 XXXXXXX","adria@mailintaor.com","Delgado Sanchez, Álvaro","+34 XXXXZZZZ","+34 XXXXLLL","adriana@mailintaor.com","c/ de l'aviador Álvaro Delgado Sanchez","L'Armentera","Albanyà","adria@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","63067618073","Molina Alarcon, Rayan","10/06/1996","Morales Valero, Ismael","+34 XXXXXXX","+34 XXXXXXX","rayan@mailintaor.com","Maldonado Delgado, Jana","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Jana Maldonado Delgado","L'Armentera","Albanyà","rayan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","83355896000","Pastor Bonet, Inés","09/12/1993","Castells Morales, Elena","+34 XXXXXXX","+34 XXXXXXX","ines@mailintaor.com","Sierra Gimenez, Blanca","+34 XXXXZZZZ","+34 XXXXLLL","elena@mailintaor.com","c/ de l'aviador Blanca Sierra Gimenez","L'Armentera","Albanyà","ines@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","18988006340","Campos Oliver, Dídac","27/08/1996","Leon Rueda, Queralt","+34 XXXXXXX","+34 XXXXXXX","didac@mailintaor.com","Fuentes Aguilar, Cristina","+34 XXXXZZZZ","+34 XXXXLLL","queralt@mailintaor.com","c/ de l'aviador Cristina Fuentes Aguilar","L'Armentera","Albanyà","didac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","51899877513","Prats Mas, Marina","12/11/1998","Blasco Dalmau, Andrea","+34 XXXXXXX","+34 XXXXXXX","marina@mailintaor.com","Martin Cabello, Nil","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Nil Martin Cabello","L'Armentera","Albanyà","marina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","81780237259","Hidalgo Soler, Adriana","03/04/1999","Soler Piñol, Bruno","+34 XXXXXXX","+34 XXXXXXX","adriana@mailintaor.com","Valls Simon, Daniela","+34 XXXXZZZZ","+34 XXXXLLL","bruno@mailintaor.com","c/ de l'aviador Daniela Valls Simon","L'Armentera","Albanyà","adriana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","70868912855","Ros Nieto, Judit","07/06/1996","Marco Riera, Valentina","+34 XXXXXXX","+34 XXXXXXX","judit@mailintaor.com","Arenas Campos, Gerard","+34 XXXXZZZZ","+34 XXXXLLL","valentina@mailintaor.com","c/ de l'aviador Gerard Arenas Campos","L'Armentera","Albanyà","judit@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","43978073215","Royo Carrasco, Pol","30/11/1994","Millan Serra, Oriol","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Vila Sanz, Xavi","+34 XXXXZZZZ","+34 XXXXLLL","oriol@mailintaor.com","c/ de l'aviador Xavi Vila Sanz","L'Armentera","Albanyà","pol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","33005712094","Nieto Bautista, Javier","09/08/1995","Ortiz Sola, Álvaro","+34 XXXXXXX","+34 XXXXXXX","javier@mailintaor.com","Gracia Montes, Izan","+34 XXXXZZZZ","+34 XXXXLLL","alvaro@mailintaor.com","c/ de l'aviador Izan Gracia Montes","L'Armentera","Albanyà","javier@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","19893594517","Lozano Alarcon, Eva","24/08/1993","Carmona Cardona, Eloi","+34 XXXXXXX","+34 XXXXXXX","eva@mailintaor.com","Mora Heredia, Álvaro","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Álvaro Mora Heredia","L'Armentera","Albanyà","eva@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","84195383454","Carrasco Carmona, Leo","09/10/1997","Crespo Valencia, Antonio","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Aguilar Vila, Marcos","+34 XXXXZZZZ","+34 XXXXLLL","antonio@mailintaor.com","c/ de l'aviador Marcos Aguilar Vila","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","63468454660","Gomez Pascual, Ariadna","26/06/1990","Arias Vives, Axel","+34 XXXXXXX","+34 XXXXXXX","ariadna@mailintaor.com","Villanueva Jurado, Biel","+34 XXXXZZZZ","+34 XXXXLLL","axel@mailintaor.com","c/ de l'aviador Biel Villanueva Jurado","L'Armentera","Albanyà","ariadna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85770204600","Coll Arias, Carlota","14/09/1998","Miguel Rivera, Iris","+34 XXXXXXX","+34 XXXXXXX","carlota@mailintaor.com","Morales Pujol, Alejandro","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Alejandro Morales Pujol","L'Armentera","Albanyà","carlota@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","16071175930","Galvez Cruz, Sergi","04/10/1992","Bernal Abad, Alba","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Fernandez Vives, Adrià","+34 XXXXZZZZ","+34 XXXXLLL","alba@mailintaor.com","c/ de l'aviador Adrià Fernandez Vives","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","95926022248","Abad Bermudez, Abril","21/03/1994","Ribas Ribas, Bruna","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Salas Dalmau, Oriol","+34 XXXXZZZZ","+34 XXXXLLL","bruna@mailintaor.com","c/ de l'aviador Oriol Salas Dalmau","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","18864971754","Tomas Oliver, Ismael","18/01/1990","Blanch Guzman, Gisela","+34 XXXXXXX","+34 XXXXXXX","ismael@mailintaor.com","Bernal Blasco, Ana","+34 XXXXZZZZ","+34 XXXXLLL","gisela@mailintaor.com","c/ de l'aviador Ana Bernal Blasco","L'Armentera","Albanyà","ismael@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","30611688810","Velasco Rubio, Aleix","09/02/1996","Comas Castro, Alba","+34 XXXXXXX","+34 XXXXXXX","aleix@mailintaor.com","Prats Pons, Gisela","+34 XXXXZZZZ","+34 XXXXLLL","alba@mailintaor.com","c/ de l'aviador Gisela Prats Pons","L'Armentera","Albanyà","aleix@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","71245945483","Lorente Contreras, Sara","22/01/1993","Bosch Gracia, Mario","+34 XXXXXXX","+34 XXXXXXX","sara@mailintaor.com","Paredes Casanova, Aitor","+34 XXXXZZZZ","+34 XXXXLLL","mario@mailintaor.com","c/ de l'aviador Aitor Paredes Casanova","L'Armentera","Albanyà","sara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","38866895712","Ramos Marco, Emma","18/03/1990","Galvez Calderon, Aleix","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Benitez Lorente, Izan","+34 XXXXZZZZ","+34 XXXXLLL","aleix@mailintaor.com","c/ de l'aviador Izan Benitez Lorente","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","15686834903","Marco Ortega, Noa","14/08/1999","Nadal Izquierdo, Joel","+34 XXXXXXX","+34 XXXXXXX","noa@mailintaor.com","Hurtado Domenech, Marina","+34 XXXXZZZZ","+34 XXXXLLL","joel@mailintaor.com","c/ de l'aviador Marina Hurtado Domenech","L'Armentera","Albanyà","noa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","33872509717","Velasco Linares, Aitana","24/07/1993","Ibañez Mesa, David","+34 XXXXXXX","+34 XXXXXXX","aitana@mailintaor.com","Alarcon Collado, Nil","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Nil Alarcon Collado","L'Armentera","Albanyà","aitana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","45822887430","Figueras Sabate, Inés","31/07/1998","Paredes Santiago, Marcos","+34 XXXXXXX","+34 XXXXXXX","ines@mailintaor.com","Casado Codina, Iris","+34 XXXXZZZZ","+34 XXXXLLL","marcos@mailintaor.com","c/ de l'aviador Iris Casado Codina","L'Armentera","Albanyà","ines@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","87509925761","Cardenas Guerrero, Nil","11/04/1998","Cruz Prieto, Laura","+34 XXXXXXX","+34 XXXXXXX","nil@mailintaor.com","Lara Abad, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","laura@mailintaor.com","c/ de l'aviador Mariona Lara Abad","L'Armentera","Albanyà","nil@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","37056900357","Andreu Saez, Ariadna","22/07/1998","Alsina Manzano, Laura","+34 XXXXXXX","+34 XXXXXXX","ariadna@mailintaor.com","Palau Bonet, Inés","+34 XXXXZZZZ","+34 XXXXLLL","laura@mailintaor.com","c/ de l'aviador Inés Palau Bonet","L'Armentera","Albanyà","ariadna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","63795703484","Pardo Vila, Adrián","06/04/1992","Sala Roig, Marc","+34 XXXXXXX","+34 XXXXXXX","adrian@mailintaor.com","Redondo Pozo, Aleix","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Aleix Redondo Pozo","L'Armentera","Albanyà","adrian@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","50731309130","Segura Rojas, Albert","16/10/1997","Pozo Pages, Antonio","+34 XXXXXXX","+34 XXXXXXX","albert@mailintaor.com","Planas Tomas, Albert","+34 XXXXZZZZ","+34 XXXXLLL","antonio@mailintaor.com","c/ de l'aviador Albert Planas Tomas","L'Armentera","Albanyà","albert@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","63899550930","Flores Rubio, Diego","25/10/1992","Carrasco Garrido, David","+34 XXXXXXX","+34 XXXXXXX","diego@mailintaor.com","Montes Izquierdo, Miquel","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Miquel Montes Izquierdo","L'Armentera","Albanyà","diego@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","74939081780","Serra Avila, Lluc","17/02/1999","Mendoza Bertran, Gabriel","+34 XXXXXXX","+34 XXXXXXX","lluc@mailintaor.com","Carrillo Coll, Elena","+34 XXXXZZZZ","+34 XXXXLLL","gabriel@mailintaor.com","c/ de l'aviador Elena Carrillo Coll","L'Armentera","Albanyà","lluc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","90188312630","Vidal Cortes, Nora","26/04/1996","Pascual Reyes, Ismael","+34 XXXXXXX","+34 XXXXXXX","nora@mailintaor.com","Hernandez Perez, Arlet","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Arlet Hernandez Perez","L'Armentera","Albanyà","nora@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","88074371708","Arias Campos, Jordi","19/07/1991","Ramos Carreras, Max","+34 XXXXXXX","+34 XXXXXXX","jordi@mailintaor.com","Ortiz Riera, Bruno","+34 XXXXZZZZ","+34 XXXXLLL","max@mailintaor.com","c/ de l'aviador Bruno Ortiz Riera","L'Armentera","Albanyà","jordi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","74879273748","Tomas Gimenez, Irene","24/10/1998","Juan Galvez, Adriana","+34 XXXXXXX","+34 XXXXXXX","irene@mailintaor.com","Rodriguez Soler, Jordi","+34 XXXXZZZZ","+34 XXXXLLL","adriana@mailintaor.com","c/ de l'aviador Jordi Rodriguez Soler","L'Armentera","Albanyà","irene@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","84553311092","Villanueva Rico, Ferran","31/07/1994","Prats Rosell, Leo","+34 XXXXXXX","+34 XXXXXXX","ferran@mailintaor.com","Mir Ortega, Álvaro","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Álvaro Mir Ortega","L'Armentera","Albanyà","ferran@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","16508712144","Rivas Sancho, Bruna","16/10/1993","Soler Galvez, Leyre","+34 XXXXXXX","+34 XXXXXXX","bruna@mailintaor.com","Arias Amaya, Adam","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Adam Arias Amaya","L'Armentera","Albanyà","bruna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","25832395466","Fernandez Asensio, Helena","23/04/1991","Robles Pozo, Mohamed","+34 XXXXXXX","+34 XXXXXXX","helena@mailintaor.com","Ferre Redondo, Max","+34 XXXXZZZZ","+34 XXXXLLL","mohamed@mailintaor.com","c/ de l'aviador Max Ferre Redondo","L'Armentera","Albanyà","helena@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","90666641990","Roca Diaz, Sergi","28/12/1990","Plaza Escudero, Antonio","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Delgado Reyes, Berta","+34 XXXXZZZZ","+34 XXXXLLL","antonio@mailintaor.com","c/ de l'aviador Berta Delgado Reyes","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","71984854469","Andres Valles, Miquel","22/05/1997","Redondo Pascual, Ainara","+34 XXXXXXX","+34 XXXXXXX","miquel@mailintaor.com","Cabello Casas, Marcos","+34 XXXXZZZZ","+34 XXXXLLL","ainara@mailintaor.com","c/ de l'aviador Marcos Cabello Casas","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","26977158443","Linares Gonzalez, Jana","16/06/1993","Lopez Garriga, Samuel","+34 XXXXXXX","+34 XXXXXXX","jana@mailintaor.com","Gimeno Pacheco, Nora","+34 XXXXZZZZ","+34 XXXXLLL","samuel@mailintaor.com","c/ de l'aviador Nora Gimeno Pacheco","L'Armentera","Albanyà","jana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","63017700062","Castillo Molina, Nil","02/11/1999","Pozo Abad, Mireia","+34 XXXXXXX","+34 XXXXXXX","nil@mailintaor.com","Bertran Miranda, Emma","+34 XXXXZZZZ","+34 XXXXLLL","mireia@mailintaor.com","c/ de l'aviador Emma Bertran Miranda","L'Armentera","Albanyà","nil@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","75069291198","Bermudez Lorenzo, Álvaro","18/01/1999","Montoya Sierra, Lluc","+34 XXXXXXX","+34 XXXXXXX","alvaro@mailintaor.com","Franco Prat, Marcos","+34 XXXXZZZZ","+34 XXXXLLL","lluc@mailintaor.com","c/ de l'aviador Marcos Franco Prat","L'Armentera","Albanyà","alvaro@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","36091342897","Dalmau Soriano, Ona","03/02/1991","Alvarez Beltran, Carlos","+34 XXXXXXX","+34 XXXXXXX","ona@mailintaor.com","Duran Soria, Marc","+34 XXXXZZZZ","+34 XXXXLLL","carlos@mailintaor.com","c/ de l'aviador Marc Duran Soria","L'Armentera","Albanyà","ona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","57954919886","Reyes Quintana, Samuel","05/06/1995","Bravo Palacios, Ferran","+34 XXXXXXX","+34 XXXXXXX","samuel@mailintaor.com","Prat Calderon, Mario","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Mario Prat Calderon","L'Armentera","Albanyà","samuel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","94021061454","Alonso Cortes, Naia","22/08/1999","Flores Molina, Elena","+34 XXXXXXX","+34 XXXXXXX","naia@mailintaor.com","Santiago Barrera, Alejandro","+34 XXXXZZZZ","+34 XXXXLLL","elena@mailintaor.com","c/ de l'aviador Alejandro Santiago Barrera","L'Armentera","Albanyà","naia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","42996270206","Asensio Rojas, Paula","25/03/1999","Camacho Valverde, Ariadna","+34 XXXXXXX","+34 XXXXXXX","paula@mailintaor.com","Alonso Salvador, Izan","+34 XXXXZZZZ","+34 XXXXLLL","ariadna@mailintaor.com","c/ de l'aviador Izan Alonso Salvador","L'Armentera","Albanyà","paula@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","18192959364","Ferrer Quesada, Adrià","29/10/1996","Oliva Lara, Berta","+34 XXXXXXX","+34 XXXXXXX","adria@mailintaor.com","Saez Silva, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","berta@mailintaor.com","c/ de l'aviador Mariona Saez Silva","L'Armentera","Albanyà","adria@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","63491938081","Pujol Prats, Valentina","30/01/1997","Parra Pujol, Quim","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Juan Vargas, Rayan","+34 XXXXZZZZ","+34 XXXXLLL","quim@mailintaor.com","c/ de l'aviador Rayan Juan Vargas","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","30771104844","Alonso Plaza, Joana","05/05/1997","Carrasco Vives, Ana","+34 XXXXXXX","+34 XXXXXXX","joana@mailintaor.com","Reyes Font, Leo","+34 XXXXZZZZ","+34 XXXXLLL","ana@mailintaor.com","c/ de l'aviador Leo Reyes Font","L'Armentera","Albanyà","joana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","86656458554","Ordoñez Salvador, Joan","27/06/1991","Cardenas Duran, Noa","+34 XXXXXXX","+34 XXXXXXX","joan@mailintaor.com","Nadal Garriga, Valentina","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Valentina Nadal Garriga","L'Armentera","Albanyà","joan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","90145146241","Pascual Miranda, Leo","11/04/1997","Gallardo Mas, Andrea","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Sala Avila, Anna","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Anna Sala Avila","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","13385776272","Cuenca Andres, Adam","28/04/1990","Figueras Caballero, David","+34 XXXXXXX","+34 XXXXXXX","adam@mailintaor.com","Simon Viñas, Joel","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Joel Simon Viñas","L'Armentera","Albanyà","adam@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","77338533233","Muñoz Carrillo, Aleix","23/04/1996","Mendoza Carbonell, Andrea","+34 XXXXXXX","+34 XXXXXXX","aleix@mailintaor.com","Medina Garcia, Mar","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Mar Medina Garcia","L'Armentera","Albanyà","aleix@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","94847473464","Cabrera Rodriguez, Samuel","20/07/1994","Camacho Pardo, Pablo","+34 XXXXXXX","+34 XXXXXXX","samuel@mailintaor.com","Rius Valverde, Jordi","+34 XXXXZZZZ","+34 XXXXLLL","pablo@mailintaor.com","c/ de l'aviador Jordi Rius Valverde","L'Armentera","Albanyà","samuel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","75338937554","Gimenez Gomez, Miquel","13/10/1995","Lopez Jimenez, Pablo","+34 XXXXXXX","+34 XXXXXXX","miquel@mailintaor.com","Navas Lazaro, Guillem","+34 XXXXZZZZ","+34 XXXXLLL","pablo@mailintaor.com","c/ de l'aviador Guillem Navas Lazaro","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","59462818801","Peña Rubio, Ona","02/08/1994","Castaño Palacios, Naia","+34 XXXXXXX","+34 XXXXXXX","ona@mailintaor.com","Mas Sala, Isaac","+34 XXXXZZZZ","+34 XXXXLLL","naia@mailintaor.com","c/ de l'aviador Isaac Mas Sala","L'Armentera","Albanyà","ona@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","32935261257","Mas Diaz, Leire","08/08/1996","Marco Pardo, Carlota","+34 XXXXXXX","+34 XXXXXXX","leire@mailintaor.com","Santos Roig, Erik","+34 XXXXZZZZ","+34 XXXXLLL","carlota@mailintaor.com","c/ de l'aviador Erik Santos Roig","L'Armentera","Albanyà","leire@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","33085629307","Hidalgo Cuevas, Antonio","20/07/1993","Suarez Rios, Daniel","+34 XXXXXXX","+34 XXXXXXX","antonio@mailintaor.com","Borras Torres, Sara","+34 XXXXZZZZ","+34 XXXXLLL","daniel@mailintaor.com","c/ de l'aviador Sara Borras Torres","L'Armentera","Albanyà","antonio@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","43641859109","Quesada Ribas, Pol","09/12/1994","Vidal Crespo, Diego","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Miranda Palau, Oriol","+34 XXXXZZZZ","+34 XXXXLLL","diego@mailintaor.com","c/ de l'aviador Oriol Miranda Palau","L'Armentera","Albanyà","pol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","50752626764","Egea Cardona, Max","02/04/1998","Roldan Martos, Lucía","+34 XXXXXXX","+34 XXXXXXX","max@mailintaor.com","Pages Valencia, Cristina","+34 XXXXZZZZ","+34 XXXXLLL","lucia@mailintaor.com","c/ de l'aviador Cristina Pages Valencia","L'Armentera","Albanyà","max@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
